batch_id,key_id,key_length,mismatched_bits,qber,eve_present
8,93,8,2,0.25,1
8,94,8,2,0.25,1
8,95,8,1,0.125,1
8,96,8,1,0.125,1
8,97,8,4,0.5,1
8,98,8,1,0.125,1
8,99,8,1,0.125,1
9,0,8,5,0.625,1
9,1,8,1,0.125,1
9,2,8,3,0.375,1
9,3,8,1,0.125,1
9,4,8,2,0.25,1
9,5,8,3,0.375,1
9,6,8,3,0.375,1
9,7,8,1,0.125,1
9,8,8,5,0.625,1
9,9,8,2,0.25,1
9,10,8,1,0.125,1
9,11,8,1,0.125,1
9,12,8,5,0.625,1
9,13,8,1,0.125,1
9,14,8,1,0.125,1
9,15,8,4,0.5,1
9,16,8,3,0.375,1
9,17,8,1,0.125,1
9,18,8,0,0.0,1
9,19,8,2,0.25,1
9,20,8,2,0.25,1
9,21,8,2,0.25,1
9,22,8,1,0.125,1
9,23,8,1,0.125,1
9,24,8,1,0.125,1
9,25,8,1,0.125,1
9,26,8,0,0.0,1
9,27,8,3,0.375,1
9,28,8,1,0.125,1
9,29,8,0,0.0,1
9,30,8,3,0.375,1
9,31,8,2,0.25,1
9,32,8,2,0.25,1
9,33,8,1,0.125,1
9,34,8,3,0.375,1
9,35,8,2,0.25,1
9,36,8,1,0.125,1
9,37,8,3,0.375,1
9,38,8,2,0.25,1
9,39,8,4,0.5,1
9,40,8,4,0.5,1
9,41,8,0,0.0,1
9,42,8,2,0.25,1
9,43,8,2,0.25,1
9,44,8,3,0.375,1
9,45,8,0,0.0,1
9,46,8,2,0.25,1
9,47,8,2,0.25,1
9,48,8,3,0.375,1
9,49,8,2,0.25,1
9,50,8,3,0.375,1
9,51,8,3,0.375,1
9,52,8,2,0.25,1
9,53,8,2,0.25,1
9,54,8,3,0.375,1
9,55,8,4,0.5,1
9,56,8,3,0.375,1
9,57,8,1,0.125,1
9,58,8,1,0.125,1
9,59,8,0,0.0,1
9,60,8,3,0.375,1
9,61,8,1,0.125,1
9,62,8,2,0.25,1
9,63,8,2,0.25,1
9,64,8,3,0.375,1
9,65,8,3,0.375,1
9,66,8,4,0.5,1
9,67,8,3,0.375,1
9,68,8,2,0.25,1
9,69,8,4,0.5,1
9,70,8,2,0.25,1
9,71,8,5,0.625,1
9,72,8,1,0.125,1
